"Pays";"YEAR";"GEO_RESIDENCE_Niv2";"GEO_NAISSANCE_Niv2";"GEO_RESIDENCE_Niv1";"GEO_NAISSANCE_Niv1";"POP_Total_IPUMS";"SEXE_Hom_IPUMS";"SEXE_Fem_IPUMS";"AGE_0014_IPUMS";"AGE_1529_IPUMS";"AGE_3044_IPUMS";"AGE_4559_IPUMS";"AGE_6074_IPUMS";"AGE_75pl_IPUMS";"COD_RESIDENCE_Niv2";"COD_NAISSANCE_Niv2";"COD_NAISSANCE_Niv1";"COD_RESIDENCE_Niv1"
"Benin";2002;"Banikorara";"Banikorara";"Alibori";"Alibori";142080;69120;72960;77070;32550;17370;7450;4890;2750;"BJ0101";"BJ0101";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Gogounou";"Alibori";"Alibori";60;20;40;30;30;0;0;0;0;"BJ0101";"BJ0102";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Kandi";"Alibori";"Alibori";380;110;270;100;130;110;40;0;0;"BJ0101";"BJ0103";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Karimama";"Alibori";"Alibori";60;40;20;30;10;20;0;0;0;"BJ0101";"BJ0104";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Malanville";"Alibori";"Alibori";40;40;0;20;20;0;0;0;0;"BJ0101";"BJ0105";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Segbana";"Alibori";"Alibori";20;10;10;0;10;0;10;0;0;"BJ0101";"BJ0106";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Alibori department, unknown commune";"Alibori";"Alibori";100;30;70;80;10;10;0;0;0;"BJ0101";"BJ01";"BJ01";"BJ01"
"Benin";2002;"Banikorara";"Boukoumbe";"Alibori";"Atacora";10;0;10;0;10;0;0;0;0;"BJ0101";"BJ0201";"BJ02";"BJ01"
"Benin";2002;"Banikorara";"Cobly";"Alibori";"Atacora";60;30;30;20;30;0;10;0;0;"BJ0101";"BJ0203";"BJ02";"BJ01"
"Benin";2002;"Banikorara";"Kerou";"Alibori";"Atacora";340;140;200;110;130;20;40;30;10;"BJ0101";"BJ0202";"BJ02";"BJ01"
"Benin";2002;"Banikorara";"Kouande";"Alibori";"Atacora";190;80;110;90;40;20;30;10;0;"BJ0101";"BJ0204";"BJ02";"BJ01"
"Benin";2002;"Banikorara";"Natitingou";"Alibori";"Atacora";230;120;110;90;100;40;0;0;0;"BJ0101";"BJ0206";"BJ02";"BJ01"
"Benin";2002;"Banikorara";"Penhunco";"Alibori";"Atacora";70;0;70;30;20;10;10;0;0;"BJ0101";"BJ0207";"BJ02";"BJ01"
"Benin";2002;"Banikorara";"Taqnguiete";"Alibori";"Atacora";10;10;0;0;10;0;0;0;0;"BJ0101";"BJ0208";"BJ02";"BJ01"
